python基础语法知识点,,,,
分类,类别名称,知识点,说明,编号
0,编程基础,计算机基础知识,,1
,,编程规范,注释,2
,,,缩进,3
,,,双引号,4
,,,单引号,5
,,IDLE及Pycharm的基础使用,,6
,,python编程环境,,7
1,输入输出,input(),,8
,,print(),,9
2,变量,变量命名,,10
,,python关键字,,11
,,python标识符,,12
,,常量,,13
3,顺序结构,,,14
4,选择结构,if语句,if,15
,,elif语句,elif,16
,,else语句,else,17
5,循环结构,for循环,for,18
,,while循环,while,19
,,循环控制语句,break,20
,,,continue,21
6,数据类型,整数,int,22
,,浮点数,float,23
,,字符串,str,24
,,布尔,bool,25
,,元素类型转换,,26
7,运算符,比较运算符,>,27
,,,<,28
,,,>=,29
,,,<=,30
,,,==,31
,,,!=,32
,,算术运算符,+,33
,,,-,34
,,,*,35
,,,/,36
,,,%,37
,,,//,38
,,,**,39
,,赋值运算符,=,40
,,逻辑运算符,and,41
,,,or,42
,,,not,43
,,运算符优先顺序,,44
,海龟绘图,海龟控制,forward,45
,,,backward,46
,,,left,47
,,,right,48
,,,penup,49
,,,pendown,50
,,,goto,51
,,,dot,52
,,,circle,53
,,画布控制,,54
,模块导入,海龟库,,55
,,随机库,,56
,,数学库,,57
,列表,元素访问,正向索引,58
,,,反向索引,59
,,,,
,,,,
,,,,
,,,,
